state,county,party,candidate,fraction_votes,latitude,longitude
AL,Autauga,Republican,Donald Trump,0.445,32.524787375,-86.637706375
AL,Autauga,Republican,Ted Cruz,0.205,32.524787375,-86.637706375
AL,Autauga,Republican,Marco Rubio,0.14800000000000002,32.524787375,-86.637706375
AL,Autauga,Republican,Ben Carson,0.146,32.524787375,-86.637706375
AL,Autauga,Republican,John Kasich,0.035,32.524787375,-86.637706375
AL,Autauga,Democrat,Hillary Clinton,0.8,32.524787375,-86.637706375
AL,Autauga,Democrat,Bernie Sanders,0.182,32.524787375,-86.637706375
AL,Baldwin,Republican,Donald Trump,0.469,30.587201769230774,-87.71905611538462
AL,Baldwin,Republican,Marco Rubio,0.193,30.587201769230774,-87.71905611538462
AL,Baldwin,Republican,Ted Cruz,0.17,30.587201769230774,-87.71905611538462
AL,Baldwin,Republican,Ben Carson,0.084,30.587201769230774,-87.71905611538462
AL,Baldwin,Republican,John Kasich,0.059,30.587201769230774,-87.71905611538462
AL,Baldwin,Democrat,Hillary Clinton,0.647,30.587201769230774,-87.71905611538462
AL,Baldwin,Democrat,Bernie Sanders,0.329,30.587201769230774,-87.71905611538462
AL,Barbour,Republican,Donald Trump,0.501,31.816168599999997,-85.4180688
AL,Barbour,Republican,Ted Cruz,0.179,31.816168599999997,-85.4180688
AL,Barbour,Republican,Marco Rubio,0.146,31.816168599999997,-85.4180688
AL,Barbour,Republican,Ben Carson,0.122,31.816168599999997,-85.4180688
AL,Barbour,Republican,John Kasich,0.036000000000000004,31.816168599999997,-85.4180688
AL,Barbour,Democrat,Hillary Clinton,0.906,31.816168599999997,-85.4180688
AL,Barbour,Democrat,Bernie Sanders,0.078,31.816168599999997,-85.4180688
AL,Bibb,Republican,Donald Trump,0.494,33.032728375,-87.080730625
AL,Bibb,Republican,Ted Cruz,0.255,33.032728375,-87.080730625
AL,Bibb,Republican,Marco Rubio,0.112,33.032728375,-87.080730625
AL,Bibb,Republican,Ben Carson,0.099,33.032728375,-87.080730625
AL,Bibb,Republican,John Kasich,0.021,33.032728375,-87.080730625
AL,Bibb,Democrat,Hillary Clinton,0.755,33.032728375,-87.080730625
AL,Bibb,Democrat,Bernie Sanders,0.197,33.032728375,-87.080730625
AL,Blount,Republican,Donald Trump,0.487,33.95194385714286,-86.582932
AL,Blount,Republican,Ted Cruz,0.244,33.95194385714286,-86.582932
AL,Blount,Republican,Marco Rubio,0.122,33.95194385714286,-86.582932
AL,Blount,Republican,Ben Carson,0.1,33.95194385714286,-86.582932
AL,Blount,Republican,John Kasich,0.022,33.95194385714286,-86.582932
AL,Blount,Democrat,Hillary Clinton,0.551,33.95194385714286,-86.582932
AL,Blount,Democrat,Bernie Sanders,0.386,33.95194385714286,-86.582932
AL,Bullock,Republican,Donald Trump,0.565,32.10515375,-85.71408825
AL,Bullock,Republican,Ted Cruz,0.17,32.10515375,-85.71408825
AL,Bullock,Republican,Marco Rubio,0.116,32.10515375,-85.71408825
AL,Bullock,Republican,Ben Carson,0.085,32.10515375,-85.71408825
AL,Bullock,Republican,John Kasich,0.042,32.10515375,-85.71408825
AL,Bullock,Democrat,Hillary Clinton,0.913,32.10515375,-85.71408825
AL,Bullock,Democrat,Bernie Sanders,0.066,32.10515375,-85.71408825
AL,Butler,Republican,Donald Trump,0.5379999999999999,31.6921958,-86.7032796
AL,Butler,Republican,Ted Cruz,0.16699999999999998,31.6921958,-86.7032796
AL,Butler,Republican,Marco Rubio,0.133,31.6921958,-86.7032796
AL,Butler,Republican,Ben Carson,0.118,31.6921958,-86.7032796
AL,Butler,Republican,John Kasich,0.027000000000000003,31.6921958,-86.7032796
AL,Butler,Democrat,Hillary Clinton,0.921,31.6921958,-86.7032796
AL,Butler,Democrat,Bernie Sanders,0.065,31.6921958,-86.7032796
AL,Calhoun,Republican,Donald Trump,0.451,33.76730529411765,-85.83004135294117
AL,Calhoun,Republican,Ted Cruz,0.194,33.76730529411765,-85.83004135294117
AL,Calhoun,Republican,Marco Rubio,0.163,33.76730529411765,-85.83004135294117
AL,Calhoun,Republican,Ben Carson,0.118,33.76730529411765,-85.83004135294117
AL,Calhoun,Republican,John Kasich,0.048,33.76730529411765,-85.83004135294117
AL,Calhoun,Democrat,Hillary Clinton,0.765,33.76730529411765,-85.83004135294117
AL,Calhoun,Democrat,Bernie Sanders,0.218,33.76730529411765,-85.83004135294117
AL,Chambers,Republican,Donald Trump,0.476,32.8801192,-85.3072474
AL,Chambers,Republican,Ted Cruz,0.2,32.8801192,-85.3072474
AL,Chambers,Republican,Ben Carson,0.131,32.8801192,-85.3072474
AL,Chambers,Republican,Marco Rubio,0.131,32.8801192,-85.3072474
AL,Chambers,Republican,John Kasich,0.037000000000000005,32.8801192,-85.3072474
AL,Chambers,Democrat,Hillary Clinton,0.8859999999999999,32.8801192,-85.3072474
AL,Chambers,Democrat,Bernie Sanders,0.095,32.8801192,-85.3072474
AL,Cherokee,Republican,Donald Trump,0.521,34.193099800000006,-85.6118958
AL,Cherokee,Republican,Ted Cruz,0.173,34.193099800000006,-85.6118958
AL,Cherokee,Republican,Marco Rubio,0.152,34.193099800000006,-85.6118958
AL,Cherokee,Republican,Ben Carson,0.1,34.193099800000006,-85.6118958
AL,Cherokee,Republican,John Kasich,0.028,34.193099800000006,-85.6118958
AL,Cherokee,Democrat,Hillary Clinton,0.6609999999999999,34.193099800000006,-85.6118958
AL,Cherokee,Democrat,Bernie Sanders,0.249,34.193099800000006,-85.6118958
AL,Chilton,Republican,Donald Trump,0.493,32.84828114285714,-86.73656785714286
AL,Chilton,Republican,Ted Cruz,0.218,32.84828114285714,-86.73656785714286
AL,Chilton,Republican,Marco Rubio,0.134,32.84828114285714,-86.73656785714286
AL,Chilton,Republican,Ben Carson,0.108,32.84828114285714,-86.73656785714286
AL,Chilton,Republican,John Kasich,0.02,32.84828114285714,-86.73656785714286
AL,Chilton,Democrat,Hillary Clinton,0.731,32.84828114285714,-86.73656785714286
AL,Chilton,Democrat,Bernie Sanders,0.246,32.84828114285714,-86.73656785714286
AL,Choctaw,Republican,Donald Trump,0.499,32.05194136363637,-88.21056609090908
AL,Choctaw,Republican,Ted Cruz,0.21,32.05194136363637,-88.21056609090908
AL,Choctaw,Republican,Marco Rubio,0.147,32.05194136363637,-88.21056609090908
AL,Choctaw,Republican,Ben Carson,0.079,32.05194136363637,-88.21056609090908
AL,Choctaw,Republican,John Kasich,0.032,32.05194136363637,-88.21056609090908
AL,Choctaw,Democrat,Hillary Clinton,0.802,32.05194136363637,-88.21056609090908
AL,Choctaw,Democrat,Bernie Sanders,0.124,32.05194136363637,-88.21056609090908
AL,Clarke,Republican,Donald Trump,0.502,31.662117357142854,-87.84834799999999
AL,Clarke,Republican,Ted Cruz,0.193,31.662117357142854,-87.84834799999999
AL,Clarke,Republican,Marco Rubio,0.175,31.662117357142854,-87.84834799999999
AL,Clarke,Republican,Ben Carson,0.08900000000000001,31.662117357142854,-87.84834799999999
AL,Clarke,Republican,John Kasich,0.027000000000000003,31.662117357142854,-87.84834799999999
AL,Clarke,Democrat,Hillary Clinton,0.93,31.662117357142854,-87.84834799999999
AL,Clarke,Democrat,Bernie Sanders,0.063,31.662117357142854,-87.84834799999999
AL,Clay,Republican,Donald Trump,0.476,33.247311333333336,-85.86219100000001
AL,Clay,Republican,Ted Cruz,0.207,33.247311333333336,-85.86219100000001
AL,Clay,Republican,Marco Rubio,0.125,33.247311333333336,-85.86219100000001
AL,Clay,Republican,Ben Carson,0.122,33.247311333333336,-85.86219100000001
AL,Clay,Republican,John Kasich,0.031,33.247311333333336,-85.86219100000001
AL,Clay,Democrat,Hillary Clinton,0.818,33.247311333333336,-85.86219100000001
AL,Clay,Democrat,Bernie Sanders,0.13699999999999998,33.247311333333336,-85.86219100000001
AL,Cleburne,Republican,Donald Trump,0.483,33.6815862,-85.4502488
AL,Cleburne,Republican,Ted Cruz,0.211,33.6815862,-85.4502488
AL,Cleburne,Republican,Marco Rubio,0.136,33.6815862,-85.4502488
AL,Cleburne,Republican,Ben Carson,0.1,33.6815862,-85.4502488
AL,Cleburne,Republican,John Kasich,0.024,33.6815862,-85.4502488
AL,Cleburne,Democrat,Hillary Clinton,0.732,33.6815862,-85.4502488
AL,Cleburne,Democrat,Bernie Sanders,0.238,33.6815862,-85.4502488
AL,Coffee,Republican,Donald Trump,0.414,31.3705865,-85.99217083333333
AL,Coffee,Republican,Ted Cruz,0.233,31.3705865,-85.99217083333333
AL,Coffee,Republican,Marco Rubio,0.155,31.3705865,-85.99217083333333
AL,Coffee,Republican,Ben Carson,0.132,31.3705865,-85.99217083333333
AL,Coffee,Republican,John Kasich,0.036000000000000004,31.3705865,-85.99217083333333
AL,Coffee,Democrat,Hillary Clinton,0.772,31.3705865,-85.99217083333333
AL,Coffee,Democrat,Bernie Sanders,0.201,31.3705865,-85.99217083333333
AL,Colbert,Republican,Donald Trump,0.474,34.713998833333335,-87.76102183333334
AL,Colbert,Republican,Ted Cruz,0.197,34.713998833333335,-87.76102183333334
AL,Colbert,Republican,Marco Rubio,0.177,34.713998833333335,-87.76102183333334
AL,Colbert,Republican,Ben Carson,0.109,34.713998833333335,-87.76102183333334
AL,Colbert,Republican,John Kasich,0.031,34.713998833333335,-87.76102183333334
AL,Colbert,Democrat,Hillary Clinton,0.65,34.713998833333335,-87.76102183333334
AL,Colbert,Democrat,Bernie Sanders,0.225,34.713998833333335,-87.76102183333334
AL,Conecuh,Republican,Donald Trump,0.59,31.438698666666667,-87.08042433333334
AL,Conecuh,Republican,Ted Cruz,0.16,31.438698666666667,-87.08042433333334
AL,Conecuh,Republican,Marco Rubio,0.108,31.438698666666667,-87.08042433333334
AL,Conecuh,Republican,Ben Carson,0.105,31.438698666666667,-87.08042433333334
AL,Conecuh,Republican,John Kasich,0.013,31.438698666666667,-87.08042433333334
AL,Conecuh,Democrat,Hillary Clinton,0.7140000000000001,31.438698666666667,-87.08042433333334
AL,Conecuh,Democrat,Bernie Sanders,0.191,31.438698666666667,-87.08042433333334
AL,Coosa,Republican,Donald Trump,0.5529999999999999,32.9465996,-86.15119560000001
AL,Coosa,Republican,Ted Cruz,0.195,32.9465996,-86.15119560000001
AL,Coosa,Republican,Marco Rubio,0.108,32.9465996,-86.15119560000001
AL,Coosa,Republican,Ben Carson,0.09,32.9465996,-86.15119560000001
AL,Coosa,Republican,John Kasich,0.03,32.9465996,-86.15119560000001
AL,Coosa,Democrat,Hillary Clinton,0.877,32.9465996,-86.15119560000001
AL,Coosa,Democrat,Bernie Sanders,0.108,32.9465996,-86.15119560000001
AL,Covington,Republican,Donald Trump,0.481,31.206252000000003,-86.435104625
AL,Covington,Republican,Ted Cruz,0.185,31.206252000000003,-86.435104625
AL,Covington,Republican,Marco Rubio,0.133,31.206252000000003,-86.435104625
AL,Covington,Republican,Ben Carson,0.133,31.206252000000003,-86.435104625
AL,Covington,Republican,John Kasich,0.034,31.206252000000003,-86.435104625
AL,Covington,Democrat,Hillary Clinton,0.773,31.206252000000003,-86.435104625
AL,Covington,Democrat,Bernie Sanders,0.197,31.206252000000003,-86.435104625
AL,Crenshaw,Republican,Donald Trump,0.545,31.71421375,-86.318535
AL,Crenshaw,Republican,Ted Cruz,0.219,31.71421375,-86.318535
AL,Crenshaw,Republican,Ben Carson,0.104,31.71421375,-86.318535
AL,Crenshaw,Republican,Marco Rubio,0.091,31.71421375,-86.318535
AL,Crenshaw,Republican,John Kasich,0.026,31.71421375,-86.318535
AL,Crenshaw,Democrat,Hillary Clinton,0.878,31.71421375,-86.318535
AL,Crenshaw,Democrat,Bernie Sanders,0.103,31.71421375,-86.318535
AL,Cullman,Republican,Donald Trump,0.506,34.133396999999995,-86.85571092307693
AL,Cullman,Republican,Ted Cruz,0.203,34.133396999999995,-86.85571092307693
AL,Cullman,Republican,Marco Rubio,0.135,34.133396999999995,-86.85571092307693
AL,Cullman,Republican,Ben Carson,0.11,34.133396999999995,-86.85571092307693
AL,Cullman,Republican,John Kasich,0.027000000000000003,34.133396999999995,-86.85571092307693
AL,Cullman,Democrat,Hillary Clinton,0.608,34.133396999999995,-86.85571092307693
AL,Cullman,Democrat,Bernie Sanders,0.345,34.133396999999995,-86.85571092307693
AL,Dale,Republican,Donald Trump,0.453,31.3891224,-85.616952
AL,Dale,Republican,Ted Cruz,0.219,31.3891224,-85.616952
AL,Dale,Republican,Marco Rubio,0.13,31.3891224,-85.616952
AL,Dale,Republican,Ben Carson,0.125,31.3891224,-85.616952
AL,Dale,Republican,John Kasich,0.036000000000000004,31.3891224,-85.616952
AL,Dale,Democrat,Hillary Clinton,0.77,31.3891224,-85.616952
AL,Dale,Democrat,Bernie Sanders,0.207,31.3891224,-85.616952
AL,Dallas,Republican,Donald Trump,0.597,32.353304300000005,-87.10818160000001
AL,Dallas,Republican,Ted Cruz,0.207,32.353304300000005,-87.10818160000001
